label,data
sadness,"4 taun sakola na, karunya mah kaka kelas urang 7 taun sakola didinya hungkul watir :("
joy,"Alhamdulillah.. Bagja pisan tiasa ngabantosan rekan2 nu teu acan gaduh damel, mudah2an sagala rupi amal ibadah na janten berkah..Amin"
anger,"Yeuh anjing ai sakirana titah make sapatu jeung helm safety wae mumul mah ulang loba bacot lah, ijid anjing. Loba instrospeksi geura goblog."
anger,"Saat rungsing menghampiri, yang ada dibenakku hanyalah hayang neungeul jelema dan itu Rudet"""
sadness,"Sekelas pengusaha wae ripuh dibere korona mah, komo aing misgom kieu"
fear,mialloh hudang langsung urg ngadegdeg euy serem psan baruda urg mah yaalloh gar urg mimpi buruk 2poe berturutturut :'(
anger,"matakna rada dijagi babangus na bray, sasanget sanget na leuweung moal leuwih sanget tibatan sungut"
sadness,Subhanallah kacida butut na.. Si Konate ge asa tega pisan.. Teu inget bareto sok jumaahan bareng di Gateway
anger,"AMPUN SIA MENI TEU BISA DI KEHEULA KEHEULA AING KA IMAH TEH LAIN REK NGABABU ATAUPUN REK HOLIDAY TAI TEH AING AYA TUGAS ISUK ISUK DITITAHAN, DI KEHEULA KEHEULA GANDENG PISAN SUNGUT TEH RAWING ANYING"
sadness,Ieu kuring naha janten hanjelu gara-gara di Chelsea parantos teu aya Fabregas deui
fear,"""Mah potoin iin ih sama jurig itu"" bari jeung ngadegdeg sieun di ceke"
anger,"Urg sok ngahargaan ka batur, tp btr beut marulang tai ka aing? Aranjing!"
sadness,"Asa karunya ningali na, ari kieu-kieu teuing mah"
anger,"Ngajedog sia teh di imah lain ngajakan anak maneh arulin ka laut atawa ka mol, sia teu sieun sih kajeun tapi ngarugikeun batur kehed, anak aing di gugu eh anak sia kalah diabur"
joy,"Sumpah ! Bagja ningali- na Pak Polisi Barugah,,,, daripada ningali nu ngaja demo mani Taregang."
sadness,Ari indung urang cageur teu nya??? Ngajerit hate sono kanu jadi indung... :(
fear,ngungsi kamana awokok heeh ih corona jd sararieun
sadness,"Euy ai gering di kosan sok sararedih jauh ti imah, heg duit ni seret. Ditambah jomblo pang pang namah"
fear,Ieu aing asa hariwang. Asa teu adil anying. Lengitken pangarumasaan ieu gusti.
fear,"Tetap tenang, padahal sieun nempo ombak, matak malik ge"
sadness,Sedih asli mang ningali rekan ojol di kitu keun. Wani na pas keur mabok hungkul sih eta opang
joy,Chica bkin ngeunah seuri ngeunah sare inimah!!!
fear,astagfirullah ateul jeung ateul we raray (0.0) panyakit ni enya kieukieu teuing yaalah serem ningali raray sorangan ge.
joy,Alhamdulillah meuni nikmat ieu seri
fear,"Aing tadi dihareup tablo, eta aing lumpat gara2 ngadenge sirine"
fear,gelo..sieun aink..bulu kuduk mararinding
sadness,"Sok nyurucud cai mata pami tos nonton Jika Aku Menjadi mah,wios ah nangis ge da Manusiawi"
anger,"aingmah napsu euyyy ka jelema belet salah grup, batur geus update dan sharing langkah² menghadapi pandemic .... iyeu angger weh pembahasan teh fans 01 vs fans 02 hayang neunggeul mun deukeut mah. sia belegug"
joy,EH HEUEUH AING KAREK NGEUH HAHAHAHA. Bangga aing ka anakna pa martin hahahahahahaha bangsat aing seuseurian ieu
joy,"Allhamdulillah,,hatur nuhun pisan the nya teh miadasmawati meuni bungah kawiwirang lgsg di waler ku teteh,,hehe !!"
sadness,"meni asa ku runtuh hate,, ngawelehkeun hate aa.. sim kuring teu rumaos lepat, sim kuring rumaos kasakit ningali aa saredih ninggalna.."
anger,Babangus caleg kos kieu pntsan ruksak partai demokrat
anger,Anjing wasitna goblog bagong nga bela MU tai dasar tah wasit teh hayang di kulup diga hui boled
sadness,Sakapeung cumarita ka mantena ge teu bisa ngalengitkeun kapusing...ttp we ngabagel na hate..piambekeun..piceurikeun..hanjelu...malah sakapeung mah sok ngarasa putus asa
sadness,"enya watir urg mah,, ngan ningali kamu pikasediheun demi alloh,, :("
joy,Mun libur natal teh keur leutikmah sok atoh da sok loba film kartun :D
anger,"Ieu para partai kamarana aranjing teh ,disaat kampanye we barijil bagi2 kaos sembako dll. Ari waktu na keur kieu areuweuh pisan kontribusi na ,masker2 wae mah atuh babagu da moal sahrga nyieun kaos partai meuren masker mah."
joy,"tah kitu alakur,sok reueus ningali nu alakur teh, komo ciga ambu di pangmbaraan panggih jeung urang sunda teh bungah kacida"
anger,"ORANG BANDUNG YEUH, NGERAKEUN PISAN SI ANYING"
joy,"nganjuk roko di bonusan koleq sampeu samangkok, nuhun gusti"
joy,"Ya ikutlah, hak kami atuh.. nyebut goreng patut tapi Ari juara mah kami ge bungah kacida soalnya goreng patutna leungit ku kabungan kusabab Persib juara tea wkwkwk"
fear,astagfir ieu masjid meni keeng kieu beda pas bulan ramadhan
fear,"Anjis,aslina di sukajadi jadi keeng kieu ,siga di hutan"
joy,"Molongpong kieu hate sametan geus lalunas mah, nuhun gusti."
anger,"gandeng njing bisi di galey ku aing,abong ku aing di arentep ngaralunjak !!"""
fear,gaysss atuh gaysss akuteh suka sieun ngabirigidig
joy,aing kuatka seuseurian sorangan kiyeu. aslina ngeunah seuri
fear,Wow jd sarieun kieu euy kaluar peuting
joy,Bingah gaduh wargi tos janten penceramah muda ditambih mirif Rhoma Irama. Barokallah mugia Disehatkeun
anger,Anying laknat pisan jelema teh
sadness,"Bingung nu teu manggih tungtung,,Susah manah nu teu aya sudana :("
joy,"Hebat si jenong aya di Aussie, bari ajrut²tan huhujanan , meuni bungah heheuy dedeuh"
sadness,"Bari jeung teu ngarti naha teu puguh2 cimata ngeclak kana pipi inget indung bapa nu tos beda alam, ya ALLAH Gusti mugia ditempatkeun disorga"
joy,Alhamdulillah sehat..... baca status na tambih sehat da seuri wae ngabarakatak hahaahah
fear,dek ngagoreng mepi ka lumpat lumpat na ngadenge sora guludug
anger,Ka panggih ku aing buburak siah
anger,"Kadieu ku aing anying, meni bleber pisan congorna bgst!!"
joy,"Alhamdulillah, ngiring bingah kang tiasa ngiring ngabantos mah"
joy,"ieu meureun anu ngaran katresna teh, Haté ngalayang bungah kacida, Unggal ningali ci amang di kebon binatang teu weleh inget wae ka salira."
anger,"teu paduli saha mane,aing teh deudeuh.tp da mane na kt jd kesel jng keuheul.aing moal wawuh deui jng mane.sumpah."
fear,Serem kieu ngadangukeun nightmare olangan mah
anger,Asa d usik ku sia sia. Panggih jeng aing sia d leyek ku aing !
joy,aku ga pernah jerawatan twinsss... :) mangkanya ini teh meuni bungah gembira riaa
anger,"Onlen onlen tai ledig lah, maksakeun pisan rariweh jadina teh bagong. Teu epektip blog ah. Lieur nyao teu lieur"
joy,Alhamdulillah pisan gusti akhir tahun teh berkah
fear,Anjir lalajo nightmire serem kieu dong
anger,Anjing pisan jaket aing turun harga:
sadness,"Rudet ka otak mantak jangar ngabandungan di urang mah,pisediheun nu aya"
anger,"Dear Jelema anu hese dibejaan. Cik atuh anjir ngajedog weh di imah sateh, tong nyiar nyiar panyakit kehed. Tong nambah gawean perawat rumah sakit anjir karunya. Sia teu nyaah ka awak sorangan hah? Ngajedog weh di imah lalajo india tah di antepe, sinteron bawang bawangan"
fear,"Ka hanteum ku truk ti tukang ,urg bieu nempo budak ancur muriding"
joy,"Nyi cenah ayeuna teh tepang taun nya?, aduuh meuni bungah euy anu happy bday, sing bageur,seueur rezeki sareng pnjng umur nya"
anger,Tampiling padahal mah ku si emakna
sadness,"Asa karunya aing mah, tapi teu rela lamun lulusna give away mah."
anger,"Manajemen masih cicing wae teu berusaha neangan pelatih anu berkualitas, Fix sia manajemen goblog."
sadness,"Allahuakbar kecelakaan depan mata..deudeuh teuing neng,,pke motor kesenggol mobil.. Depan Hotel BananaInn Setiabudi"
anger,"Aya nu nga upload foto qur'an di tincak nu ngoment mah siga nu enya.... ting aranjing.. goblog, bagong,..."
joy,Alhamdulillah tiasa kempel meskipun tambah sibuk
sadness,Aing mh ges biasa dipohokeun ojol datang weh aya peting kbar nateh duh gusti ni nalangsa kie jelama ku aing perjuangken teh meni teu ngarti
joy,"bagja ningali barudak seura seuri ningali sapi kurban, bagja teh sederhana"
fear,Aduh ngaderegdeg gini euy sieun
anger,"Pelatih geus wani, manajemen ngejedog keneh laina di dukung apa kummaha. Asa meningan si GW, meski goblog tapi maneh na bebeakan ngabela tim jeung supporter na. Didieu mah kalem weh ngudud di caffe bari cing calengir. BAGONG"
sadness,"Lembur kuring taya duana, ngoceak manah asa kacida sonona...."
sadness,"Sok sararedih ah, menangis bari mirun seneu"
anger,"Lamun deuk ngruskeun hirup aing ulah kagok, sakalian atuh biayaan aing bere pasilitas, ulah ngan saukur ngahuntu hungkul goblog !"
fear,Gebleg paling ges hoream ngadenge lengser wengi
fear,ngabirigidig... sieun kana bedil sareng bedog
fear,Edan ni keueung kieu
anger,Si tai mah ka aing teu sorry sorry acan padahal aing nu kagandengan bagong
fear,"sereum pisan atuh siliwangi mah,( kajeun ngalewat jalak jam sakieu keur itu teu pati keeung,siliwangi mah eduns"
joy,"arakter pisan anjir ieu bobotoh ,bareuki nga caprak,suporter vasco mah da sarerius nanggapi na,lah bobotoh nga calaprak nuhun ajiggg ngeunah seuri hahaha"
sadness,Kajeun keneh ripuh nyapuan puntung a tipada sepi kieu
joy,Ngaraos bingah ningal hasil karangan murangkalih kelas tilu
anger,"Naoon sih iyeuu jelemaa ngahuntu waee , nyaho aing tunduuh"
anger,Naon si anjing sia bacot goblog lah maneh weh mikir sorangan kudu kumaha eta
fear,"Da aku mah apa atuh :( segala takut jalan sendiri juga akumah takut, apalagi lampor, komo ieu corona beki sieun tapi tetep ko yang paling aku sieun mah kehilangan kamu"
joy,Bagja boga kolot kawas pun biang bu anis sareung pun rama pa asep
joy,"Badeur badeur kieu oge awewe aing mah geulis-, aduuuh bagja boga si neng rani teh."
anger,"Rarujit ngomong ka aing aranjing .. Tong sok nu lain"" garoblog .. Anjiiiiing!!"
sadness,"Asa karunya kanu imahna dibojong soang ): usum halodo jadi badai pasair ku agungpodomoro , usum hujan banjir wae ):"
anger,Ngacaprakna harepen aing geura tong tukangen bisi di leyek ku aing tah bengeut!!! Rungsing ka aing na oge!!!!
sadness,"Ningali pm simamah dibbm langsung ngeclak cai panon kieu gusti , hampura mah aa sok teu nurut sok nyieun hate mamah kecewa ."
sadness,Dina hate leutik teu sedih pak ningali rakyat palestina di tembakan ?
anger,Goblog pisan eta jelma.. Mun deukeut kepret ku aing
joy,"KITA JUARA !!!! Sejarah tersaji di Pakansari, Hatur nuhun prestasi Persib Puteri, Kalian Juara pertama di Liga Puteri pertama. Gareulis, jaragoan , We Love U"
anger,Sok gera datang atuh geus teu kuat hayang neungeul
sadness,"Basa kr elehan musim kamari t matak jadi haneueul da uyuhan atuh maena ge loba di licikan bari di usir ti pulau jawa,"
joy,"Allahu akbar.... ini tangisan kebahagiaan.. hatur nuhun gusti, hatur nuhun Persib, hatur nuhun bobotoh"
anger,Teu Ninggali Dulur Di Galey ku aing Gera
sadness,"Sok asa nyereset aslina ngadangu lagu ieu , sok cucurucudan"
anger,Gandeng adeg eta saha nu ngadrag lah meni di harep imah aing siah buburak ku aing pepeks.!
sadness,Ujug-ujug koh reumbay asa nalangsa :-(
anger,Apa atuh ini teh ? Kekinians ? Tapi keblinger .. cik atuh lah nga adminan akun official persib teh rada baleg saeutik mah .. jangan kayak gini caranya .. jangan malu2in ya .. punteun pisan ini mah
sadness,clak cai soca.. teu acan dikersakeun kanggo paturai tineung.. clak cai soca..
sadness,"Karunya ka indungna jujur urangmah, nempo ibu ibu ceurik sok inget indung."
joy,"ngeunah seuri macaan mentions H-7, nu jaromblo ngaradat"
sadness,"Meni asa saredih kieu puasa rek nggeusan. Sabulan deui ya Alloh lah tambahan mun tiasa mah puasana.. Bakal Sono ngariung ba'da maghrib jeung genk Sakuntala ditempat gawe, bakal sono raeng na sora toa kunu tadarus di masjid.. Bakal Sono lelenggutan lamun keur sahur.."
joy,tah eta......seer bersyukur anu penting....hahahaha tos ah mening heurey deui.enak nich pagi pagi udh babarakatakan
fear,Sarieun kieu aing berita tentang virus semua anjinc tuda aing mah lalay di dahar ampun dah sagala rupa bagongs pisan
sadness,"cing atulah ulah mawa"" mantan sok rada nyeredet kana hate :( mantan mah knangan"
anger,lain diserang...males we atuh da manehna ge nyerang Anies teu pupuguh s bebel teh.
sadness,"Nyurudcud cai panon ningali filem India,,, aduh emaaaaaaa,,,"
anger,Beunget sia ngeleg euy jdi hayang mere sambel na beunget sia trus sanguan ..
anger,"Pikasebeleun aing ningalina, meuni kuingin centang bengeut maanneh"
joy,Hello goal hunter...keok oge nu penting si eta ngasupkeun...ngoahahaha...ngeunah seuri macaan mensen...
anger,"Tong tuturut munding sia ka aing, bebel teh !!?!?"
sadness,"nongkrong di jalan mah matak panas hate, ningali keun batur ngabring momotoran jeung kabogohna :(("
joy,Alhamdulillah bingah ningal barudakna sareuri deui lalajo Si Tayo
sadness,"Sedih ningali Persib ayeuna Gusti berkurangnya mah keras, tp kitu2 keneh tos kabaca"
sadness,"Ukur ngembeng cai soca, teu wasa wakca balaka, harita pisah jeung ema, nu mulang ka alam baka"
fear,Pguh asa sieun..ha-ha-ha Kebayang di cabok nu kitu
fear,Sieun asli mana Caringin deket cikukulu aya odp jir
sadness,udh mlm lagi ngalamun lagi kangeun km lagi stalking liat sia ayang ayangan raheut hese deui weh sare teh
anger,Geus Podaran bae tuman ngaheherin Indonesia bae
anger,"Hayoh weh terus. Anjing! Ijid ngomong,aya kawani diadu jeng aing,ulah kie carana lah!"
fear,Sama siah aku juga mual :( Mau test tubex tapi sieun positif tubex nya
anger,siaaaaa anying kesel pisan aing ke sia bengeut seseuh ah meni cape anying
sadness,"Bener2 ieu mah astagfirullah , kakara nepi ka ngaluarkeun cai panon ninggali adi gering ."
anger,RIBUT JEUNG AING SIA GOBLOG
fear,"cijahanya? Pedalaman pisan uka nganter ka imahna peuting-peuting, keeung:("
anger,Beunget sia...jig..siga bagong lapar....
sadness,Ngajèrit maratan langit. Ngocèak maratan jagat. Duuh gusti ieu raga teu daya teu upaya mung tiasa sumerah ka anjeun.....
anger,"Sangeunahna kieu nu ngomong ari jelema beunghar mah, gobpis, goblog pisan."
sadness,"Meuni karunya pisan, didamel obyek siksaeun"
anger,Paling rudet geus ningali babaturan sinchan manyun .. hayang neungeul ....
sadness,"sok ngajerit hate aingmah ningali berita teh,,,indonesia oh indonesia ancur negaraku"
sadness,Asa saredih ningali PERSIB perlahan ditinggalkeun ku pamaen² andelanna.
fear,"Sok asa hariwang tehh lamun ningali budak jaman kiwari anu aga-egeu.arap-ap-eureup-eup.nalika nyarios ku basa sunda, cobi lamun dibiasakeun"
joy,"Maraneh na mh sok atoh mun di ulinan th, ngaran liwet, lauk, hayam, jg batagor mh sok aya wae, unam oge sok aya wae hehehe"
fear,"Serius sebulan lebih tanpa ada suara mesin di rumah tuh keueung luar biasa, mesin pencetak uang dua duanya abis sama api padahal menjelang lebaran :'( lebaran satu satunya wkt penjualan sarung rame"
joy,Bagja ninggali sieta jeung kabogoh anyarna seuri bareng
fear,"ripuh kudu apdet kumaha, sieun ongkoh mun apdet ke na sing aya jalma nu niat jahat"
sadness,Sayang.. Anjen ngadangu teu Ngajerit hate 'neng Ngarepkeun anjen balik deui
sadness,"Mangkat macet teu maju teu mundur , alhasil motor fi simpen di deket sawah , asup menjelang akhir babak 1 , eh aliraan babak ka 2 na sedih kahujanan ban bocor balikna endah pokonamah iyeu"
sadness,"Rek nyarita tapi bingung kudu nyarita kasaha, rek ngeluh tapi era ku jelema nu leuwih ripuh, rek pasrah tapi sieun disangka jalmi anu lemah."
anger,"Naon aisia goblog, gelo pisan, sing bener atuh bagong teh, eeuh anying, kehed siamah, ku aing rek diduruk eta heuncet maneh? Belegug pisan jd jelema teh koplok!!!"
joy,"aslina teu apal apal acan kajadian naon wae, pas ningali TL loba nu nga gerung meuni bahagia kieu aing oe"
joy,"Di kolom reply banyak banyolan orang sunda, nuhun gusti ngakak abdi"
anger,"maneh baperan anying, kitu hungkul make dibacotan. edgy pisan meren nya?"
joy,nuhun gusti . . nuhun Sib . . nuhun kang Emil . . nuhun indospurs…
joy,"Lain nyerengeh deui , pada seuri ngabarakatak , komo si mang oleh jeung mang boby mah"
joy,"ALHAMDULILlAH YA ALLAH..NUHUN GUSTI PERSIB MENANG..Nuhun buat semua pemain,pelatih dan official yg udah kerja keras..Nuhun nuhun GUSTI:')"
sadness,"Sok ujug2 asa sararedih, asa waas tapi duka kunaon, kadang2 lamun tos kieu teh hoyong uih heula, ari di bumi mah asa diubaran"
fear,Yaallah lemes bgt ini kaget gaboong liat foto susana di tl serem yaallah lemes ngaderegdeg
joy,"ngupingkeun lagu karedok leunca, serasa nuju tuang sareng karedok leunca, nikmat pisan kakupingna"""
fear,"mimin nya mantap (y) pool min sejarah nya, muringkak muringkak."
sadness,"Mah, mamah kudu kuat, mamah kudu sembuh pokokna mah. Mega yakin mamah karunya pan ka mega jeng ka mimiy. Hayu mamah gugah, arurang masih butuh mamah"
anger,"ai sia, dibere hate teh menta jantung. kumaha tangkurak sia weh. eyy kitu jelema teh, edan."
joy,"Hatur nuhun 2014, bisa nyaksian jeung mapag Persib juara di Palembang. Bisa ngasaan naek pesawat, nuhun gusti~"
anger,"Punten nya rada di jagi eta babangus teh, bisi ka centang ku aing"
joy,Alhamdullilah air asia tos kapendak.. Subhanallah nuhun gusti
anger,"Diwadukan naon maneh kehed? Saacan kolot maneh d leyek, ku aing leyek hela mnh bari d ciduhan tea gening."
anger,"aya dulur aing salah gaul ngabela malaysia , mun ku aing kepret ke aing nu di kepret ku indung aing , ah degulkeun we ku aing"
fear,Asa sieun asa rek perang...rarasaan masih kenh bisa sare tibra
fear,Meuni keeng kiye aduhhh gusti hujan the jng dor dar gelap deui...!!
anger,"Ngaku sbg ormas islam, kelakuan yahudi... Ngerakeun urang Garut si koplok teh. Mun panggih, di galey ku aing"
fear,"pas intro oke fine masih kuat walaupun agak takut.. Pas intro beres jol lagu ""abditeh ayeuna.."" Bangsul auto muringkak eta mah, te kuat sieun.. Tp masih penasaran tp da sieun..."
fear,Haduhhh.. Asa keueung kieu lila teuing di cai teh ayeuna mah euy.. Asa muringkak murinding bulu taeun ieu teh..!! Heuheuheu
anger,Eta pan aing nu nyebutkeuna belegug dasar tutup salep 88 maneh mah
joy,"Ehh iyeu mah leuwih ngeunah seuri na, tapi sagala ngeunah seuri sih mun si cepot ges ngabodor mah"
joy,"Hatur nuhun Gusti nu tos seueur maparin kurnia dina hirup abdi. Namung, hapunten abdi sok sering ngarasula..."
anger,edan beberebetan kitu si goreng patut anying keuhel
fear,Aing sieun ngadenge suara ambulan
joy,aduh mang ngenah seuri
joy,ungah pisan hate abdi ningali Persib meunang ngalawan Persija
sadness,Sok sararedih nya ari meninggalkan ramadhan teh :(
fear,"Lain teu wani urang mah,sieun di sebut so jago"
sadness,Wuih lagu Nike Ardilla dibawakeun Aril tambah nyeredet kana hate
fear,Ai ngadangukeun nightmare side teh sok muringkak bulu irung euy
sadness,Karunya ka juminten ai kudu dugdag mah
anger,"aranjing boga babaturan teh , ngmong moal dilebok urut babaturan .. tapi dilebok !"
anger,"Teuing jelema teh lieur kieu wa, gara2 persekutuan corona.. teuing isuk pageto lamun manehna masih keneh aya obroleun tsunami2 deui urg gedig weh tuman"
anger,"tungguan weh nder kamu sukses, pasti hyg balik deui ke ge, mun teu ngajak nikah pasti minjem duit. lalaki bangsat bedul siah goblog pisan euy."
joy,"Nuhun ieu abi nyakakak,,tos lami diperantauan nembe mendak deui basa ieu."
joy,Boga kabogoh bageur pisan. Nuhun Gusti.
fear,Gobs.....ngadadak muringkak aing
sadness,"Ai keur dahar ngeunah teh ,sok inget ka budak, sok inget ka kolot, sok inget ka adi .. :(("
sadness,"Perih hirup didunya, deket kana dosa, deket kana maksiat, mugi gustii sing dikuatkan iman islam abdi."
fear,Asa sarieun kieu Gusti
sadness,pami di carios keun mah sedih ningali Persib
joy,"aallah, bungah kacida mereun eta si jk hate na bisa collab jeung charlie puth. Nu didieu ge bungah, komo nu diditu wkwkw"
sadness,Cobian deui kaasih indung gra Duhh sok ngeclak ci panon
joy,Meuni bahagia pisan euy bisa tidur siang. Ya Allah. Nikmat banget
fear,"Saking tkut ny ngeliat dosen itu ampe k ngadegdeg, liat muka ny jga udh serem pa lg d suruh nanya k dosen ny wow tkut ah"
anger,"Sok hayang ninggang na ka aing da nu kieu.. Kerewes ku aing bengeutna, leyek kanjutna anjg.. Rudet aing ningalina~ ninggangna teh ka awewe nu teu berdaya wae deuih s anjg teh"
sadness,Nyeredet kanu manah ngadangu eta bobotoh nu luka leuwih ti 30 orang gustiii:(((
sadness,Sok sedih nyurucud cai panon ningali awewe anu jadi ibu ibu digarawe bari dinu beus teh sarare deui nunutan isuk keneh geus ningalkeun budak nu kudu na di urus di mandian di huapan
anger,Nareangan pinafsueun wae isuk keneh ge aranjing teh
joy,Asa ku nikmat jam sakieu ngupingkeun lagu kang iwan bari ngopi mayunan kandang hayam.
joy,keur teu boga duit mah ningali tukang rongsok teh meni bungah~
sadness,"bari ngusapan tonggong si mamski teh teuing kunaon rarasaan teh nyaman pisan ai geus diusapan ku si mamski teh. nu asalna biasa wae jadi sok saredih aing ka kamar. loba pisan kenangan di kamar eta. foto foto alika. puisi puisi aing keur alika. teu kuat, aing ceurik deui di kamar"
fear,"Caritana mh ka bioskop td th lalajo NUN,, bakat ku sieun jd te konsen ngopi jagong bledug ge"
sadness,meni saredih kieu ihhh
sadness,"Teu wasa ninggal berita, ninggal twiter, ninggal RU all about banjir! Mugia dipasihan kasabaran sareng katabahan kanggo sadayana :("
anger,Ceuk aing tonjok anying awak leuwih gede koplok
anger,ABEH GE TEU NYANGKA! HARAPAN INDAH SESAAT MUSNAH KU RASA AROGAN! HAKAN GOBLOG TAH GENGSI!
sadness,Nge'Clak cai panon teh geuning gusti
sadness,"komo nahan sagala kasedih jauh ti kolot, tapi da mereun ieu ge demi nyumponan jalana hirup, ieu pikeun bekeul abi ngalatih diri jadi pribadi mandiri, Mudah2an sagala peurihna ayeuna janten bagja engkena"
anger,Ceuk aing oge tong sok balaga jd jalma mah.. Ari geus kieu mah mewek siah kehed..!
sadness,"Manah anu raheut, ngoceak maratan jagat, manah anu peurih, ngoceak maratan langit. Nalangsa anu kacida ageungna"
sadness,"Tadi pas kèr ngiuhan di halte beus kota, aya tkang barangmaen sarua ker ngiuhan meuni asa karunya, ku aku teh diberé weh dua rebu bari ditanya, pak ari sadinteun na kenging sabaraha ? Pekteh sapoe na menang 325000, jol ngadadak jadi malik karunya kadiri sorangan euy :(("
anger,Bcd sia kehed. Sini maneh gelud jeung aing si gblk sia teu wani kan ka aing sia ngaca sia teh beunget sia jiga kuyang sia hayo teu sia !!!!
joy,"Nuhun gusti , nuhun mamah , nuhun papah. Mugia dipasihan rezky langkung ti sakiye"
joy,"Neng Ara hatur nuhun yaaa hs jeung tusutnya. Tadi pas hs, aku hampir hipotermia gegara liat wajah Ara adem pisaaan, alhamdulillahnya dihangatin genggaman tangan"
fear,"Asa hariwang kiyeu nyuak macaan berita, mudah-mudahan urang-urang terus dipaparin kasehatan."
sadness,"Ngucurlah ieu cai panon ningali eta sinetron,coba geura tingali"
joy,"Bungah jeng plong hate teh tos kacumponan muludan mah, tinggal mayunan rajab .. Mudah-mudahan kengeng rezeky na"
anger,"ah tah aing kurus tahh. Org bilang gendut bodo amat da aing ngerasanya kurus. Muak aing liat tl isinya cewe kurus badan tulang semua bilang ""aku gendut ya?"" Gendut gendut huntu sia tah gendut. Caper pisan si goblog"
joy,kumaha atuh Ustadz jadi seuseurian sorangan....tanggung jawab nyak Ustadz pami abdi di sangki jalmi stress
fear,heueuh sieun ngadenge kamu ngetweet ngakak sorangan da bisi gl
anger,"pku! Kehed sia anying teu daek cicing pisan sia anying, ceuk aing diuk didinya maneh siawwteh diuk didinya, maneh kadieu ulah ganggu aing ai sia teh, oooh si.... jelema apa monyet sih? aing bingung goblog rariweh pisan palalur da aing da gelut jeung aingggg"
joy,Meuni bungah ari si mamah masak iwung mah euyyy... hujan hujan taliris... nyuruput cai iwung hahahah
anger,"tetangga aing teh naha sih arolo-olo pisan. udah tau gang kecil, buntu trs belok2nya susah, masih aja nyuruh driver gofood/grabfood nganterin ampe dalem gang. SIA TEH PAMALESAN PISAN ANYING COKOT ATUH KAHAREUP GANG. WATIR DRIVERNA PUPUTERAN TITATADI"
anger,"Biasana ge tara jumatan sateh goblog, giliran dititah jumatan di imah pahela hela ka mesjid, bagong siah."
sadness,Asa saredih papisah jeung bulan romadon :((( Sok sieun wee tahun hareup can tangtu bisa panggih deui
anger,"Kolot bedegong, ari ngalawan teu sopan ari ditahan emosi kadon ambek kapegung. Gera paeh atuh lah sia.."
sadness,Ngajerit hate ge ai hrp anger wae kieu mah! Btr mah moal apal jng moal bsa ngarasakeun
fear,"ajig do'a na ni serem kieu, leuwih serem ti budak dejek nu babaledogan kamari"
sadness,"Yuhu mang, sakapeung mah asa nalangsa, naha bet babeh kudu tipayun dipanggil ku Gusti Allah"
sadness,"Anjir, aslina kaduhung pisan teu nurutan saranna:("
joy,Sumbringah pisan bel asa gamau dicuci tangan akakakak
anger,TAH ARANJING GARA-GARA SARIA BEURIT ATAH DILEUBOK
anger,"Sia mah ngomong teh, pisangsaraeun. Anjing pisan jelema teh. Sia mah omongan aing teu didenge. Jdi wae hutang ngalobaan. Anjing edan. Bodo tpi kudu wae diturut pendpat na teh. Pas jdi loba hutang, nylahkeunna ka aing kan goblog."
anger,Babangus sia teu di sakolakeun
fear,"Ngeri kitu om, mudah2 an diurang mah teu nepi kitu."
anger,"HEH AJIG SAHA AWW MANEH DIEU KU AING DI SLEPET PANONNA!!!1!1!1!1!1! PIRA GE BARAHA MENIT KEHED!!!!! BOGA SUKU INGKIG SORANGAN SIATEH ANAK MAMAH GEUS MAH MENTA MENTA KA KABOGOH, TELAT SAEUTIK AMBEK SIA MENTAL PEUYEUM KEHED SIAH"
sadness,Asa sararedih kieu bade boboran teh. Bakal sono ka sasih romdon. Mugia urang sadaya tiasa pendak deui sareng romdon taun payun.
joy,"lolos alhamdulillah, henteu ge te nanaon... abi bingah ninggali permainan dan semangat juang Tim anu ayeuna, (punten) benten pisan sareng taun kamari.."
fear,eleuh.. jalanan bandung mun geus malem kieu meuni keeung pisan >.<. mana abis dr ngelayat lg.. hieee
joy,"jir bagja ningali ieu ,sebul eta teh di kami mah meh meunang japati jadi jadian haha"
joy,"Barokalloh kang Uus. Wilujeng ka urang Ciamis, mudah2 an janten barokah kanggo sadayana."
anger,"Anying tangkurak tong ngabongohan ku bedil, samperken aing ka indonesia di leyek ku aing tangkurakna siah"
joy,Ningali djanur seuri bungah asa ngenahen kitu.. Santai bari diuk menikmati pertandingan nyaho gol weh
fear,Ari meser masker di mana min istri perawat gigi stok di rs terbas rada hariwang min
joy,enbae loba hikmahna bieu mah aslina .nuhun gusti nuhun pisan :)
anger,Ges teu hayang nguruskeun dei sialah bagong . Kurang kumaha aing . Asa di leyek hulu aing .
fear,"Teu bisa ngomong da sieun, jadi weh ngabirigidig"
fear,Kapungkur mah asa horror ngalangkun dinya teh nya kang mana jalanna asa keueung da sepi
fear,Duh asa melang gini kl jam sgini suara ayam sama anjing saling nyaut...
fear,Komplek perumahan si uwa sarieun kieu....
anger,Ceuk aings ge naon! Baelah da ges biasa dikieukeun mah! Dagoan babales ti Gusti Nu Agung weh!
sadness,"Henteu Kang,,, ieu we nuju sararedih, asa cuang cieung, jauh panineungan"
sadness,"kangen ka kbgoh mah asa biasa da eweuh reaksi nanaon,coba mun kangen ka indung smsn oge sampe nyurucud cai panon kieu :'("
fear,"geus paling serem ningali mashar molotot mah, gunung oge menta hampura di sentak ku mashar mah"
